Name,GivenName,Surname,Department,EmployeeID,EmailAddress,NetworkID,manager,inactiveIdentity
Aaron Nichols,Aaron,Nichols12,Executive Management,1c12,Aaron.Nichols@sailpointdemo.com,Aaron.Nichols,,FALSE
Adam Kennedy,Adam,Kennedy,Accounting,1b2c3a4e,Adam.Kennedy@sailpointdemo.com,Adam.Kennedy,1c2a3c4c,FALSE
Alan Bradley,Alan,Bradley,Engineering,1c2a3c4c,Alan.Bradley@sailpointdemo.com,Alan.Bradley,1a1a1a,FALSE
Albert Woods,Albert,Woods,Engineering,1b2a3c4e,Albert.Woods@sailpointdemo.com,Albert.Woods,1c2a3c4c,FALSE
Alice Ford,Alice,Ford,Information Technology,1b2a3b4e,Alice.Ford@sailpointdemo.com,Alice.Ford,1c2a3c4c,FALSE
Allen Burton,Allen,Burton,Finance,1c2c3d4d,Allen.Burton@sailpointdemo.com,Allen.Burton,1c2a3c4c,FALSE
Amanda Ross,Amanda,Ross,Regional Operations,1b2c,Amanda.Ross@sailpointdemo.com,Amanda.Ross,1c2a3c4c,FALSE
Amy Cox,Amy,Cox,Accounting,1a2c3b4c,Amy.Cox@sailpointdemo.com,Amy.Cox,1a1a1a,FALSE
Andrea Hudson,Andrea,Hudson,Human Resources,1c2b3b,Andrea.Hudson@sailpointdemo.com,Andrea.Hudson,1c2b,FALSE
Andrew Gray,Andrew,Gray,Finance,1a2c3c4c,Andrew.Gray@sailpointdemo.com,Andrew.Gray,1a1a1a,FALSE
Angela Bell,Angela,Bell,Accounting,1a2c3a4b,Angela.Bell@sailpointdemo.com,Angela.Bell,1a1a1a,FALSE
Ann Alexander,Ann,Alexander,Information Technology,1b2a3a4d,Ann.Alexander@sailpointdemo.com,Ann.Alexander,1a1a1a,FALSE
Anna Ward,Anna,Ward,Accounting,1a2c3b4e,Anna.Ward@sailpointdemo.com,Anna.Ward,1a1a1a,FALSE
Anne Arnold,Anne,Arnold,Information Technology,1c2a3a4b,Anne.Arnold@sailpointdemo.com,Anne.Arnold,1a1a1a,FALSE
Annie Chavez,Annie,Chavez,Human Resources,1c2b3b4a,Annie.Chavez@sailpointdemo.com,Annie.Chavez,1c2b3b,FALSE

